Movie_Name,Storyline
Pechi,Revolves around age-old practices such as black magic and witchcraft.
Swamp Dogg Gets His Pool Painted,"Cult musician Swamp Dogg and housemates Moogstar and Guitar Shorty have turned their suburban LA home into an artistic haven. They journey through the turbulent music business, forming a special friendship transcending eras."
Longing,A business mogul runs into his old small town girlfriend while she is visiting the big city only to find out that they had a child together that he was unaware of. Based on an award-winning foreign language film.
Fasel Men El Lahazat El Lazeeza,"A romantic comedy about a couple who encounter many problems, until a portal opens by chance that leads them to parallel worlds."
Tina,"A woman, grieving her daughter's death in the Christchurch quakes, becomes a substitute teacher at an elite school. Unexpectedly, she discovers students lacking guidance and care, prompting her to provide inspiration and support."
The Death That Awaits,A drifter searching for answers to a mystery from her past takes on a job looking after a sick teen who is undergoing a mysterious transformation her family will do anything to stop.
Duchess,"Follows a tough, working-class, petty criminal who morphs into an anti-heroine to be reckoned with in a murky underworld, in the treacherous world of diamond smuggling."
Heart of a Servant: The Father Flanagan Story,"Father Flanagan's mission work, struggles, challenges and passion in reforming juvenile justice systems and youth care for troubled/disadvantaged youth are depicted, showing his impact on America's approach to these issues."
Sweet Dreams,"Follows Morris, who must coach a misfit softball team of his fellow housemates during his mandatory stay at Sweet Dreams sober living in order to get his life back on track."
Slocum et moi,"In 1950s France, a boy's life transforms when his father begins building a boat in their garden by the Marne River. The family joins in creating their vessel, blending real life with dreams."
Uma Musume: Pretty Derby - Beginning of a New Era,"Uma Musume - they were born to run. Born with names from other worlds, sometimes with strange, sometimes with glorious histories, they inherit the souls of these names and run. Aiming only at the goal beyond our eyes."
The Umesh Chronicles,"The coming of age of a young girl, Radha in 1980s middle-class India. Surrounded by books and music, Radha has little contact with Sundar, a boy who helps her lead a life of privilege."
The After Dark,"Beth, a young vampire, meets Jack, a punk rocker vampire. Their clans clash as Beth's clan opposes her embracing Jack's party lifestyle. Master Vigo and Dax fight over Beth's fate, with Lars Frederiksen from Rancid making his film debut."
A Photographic Memory,"A filmmaker ventures into the archives of her photographer mother to construct a personal story of love, loss, and finding someone in the work they leave behind."
Van Gogh: Poets & Lovers,"Van Gogh's revolutionary artistic style during his years in southern France, where he transformed reality into vibrant, symbolic imagery through a passionate creative process focused on storytelling in his paintings."
Mafia Temptation,"When Hayley, a tough-as-nails bartender, crosses paths with Luca, her club's mafia boss, sparks fly. Their worlds clash in a fiery dance of passion and power. But can she let Luca see past her defenses into her scarred heart?"
Outbreak,"A Psychological Thriller about a state park ranger husband and his wife struggling to come to terms with their missing teenage son while dealing with a local mystery that questions their relationship and in the end, their grip on reality."
S/He Is Still Her/e: The Official Genesis P-Orridge Documentary,"Showcases an introduction, conversation and goodbye to Genesis P-Orridge, who left a legacy on the worlds of music, performance, art, religion and the occult."
Init,"When a young barrio lass moves in to the city to study, she lives in a boarding house with other college students. Unknown to them, behind her shy and timid personality is a woman with insatiable hunger for sex."
Siddharth Roy,"Siddharth Roy Embraces logic and reason but is overwhelmed by emotions, resulting in heartache and inner turmoil."
Indian 2,"Senapathy, an ex-freedom fighter turned vigilante who fights against corruption. Senapathy returns to the country to aid a young man who has been exposing corrupt politicians in the country through videos on the internet."
The Nut Farm,A cryptocurrency trader from San Francisco takes over his missing uncle's macadamia nut farm in the Australian town of Cobweb but he soon realizes the offer comes with conditions.
The Corpse Washer,"Lela, a mortician, grapples with uncovering the truth behind her mother's mysterious deaths while haunted by spirits and burdened by the weight of untold secrets."
She Loved Blossoms More,Three brothers build an unusual time-machine in order to bring their long-dead mother back to life.
Lost on a Mountain in Maine,"A 12-year-old boy, separated from his family by a fast-moving storm, must fight to stay alive during his nine-day adventure lost in the backwoods of Maine."
River of Blood,Four kayakers take the wrong river into a jungle inhabited by a tribe of merciless cannibals.
Top 1,"Azi and Dex are both vying to be their batch valedictorian but Dex is always behind Azi. He then plans to make her fall in love to be a distraction, but his plan is a double-edged sword."
The Vampire Next Door,"Introverted Cameron, is desperately in love with his high school crush Diane. But his romantic pursuit is halted when Victoria, a female vampire moves in next door. Cameron soon discovers he's in the middle of a life-and-death adventure."
Cita,A sexually charged story about a young woman who secretly sleeps with her husband's son. The two form an alliance to kill her husband but fate has other plans for Cita.
Guntur Kaaram,"Years after his mother abandons him and remarries, a man demands answers when he's asked to sign a document denying he is her son as she runs for office."
Stripped: Nashville,"This observational documentary follows the lives of Nashville's most dynamic exotic dancers over the course of several days - highlighting their skills as dancers, upbringing, personal relationships and business acumen."
The Painter,"An ex-CIA operative is thrown back into a dangerous world when a mysterious woman from his past resurfaces. Now exposed and targeted by a relentless killer and a rogue black ops program, he must rely on skills he thought he left behind."
The Bunker,"When mysterious alien ships appear in the sky, a scientist is sealed in an underground bunker and must create a bio-weapon to stop the unknown visitors, but paranoia and isolation cause her to question the true intention of her mission."
Salawahan,"Melaine can't get enough with the two men in her life. When a new man arrives, she gives in to temptation."
Outside,"A family seeks refuge on an isolated farm during a zombie apocalypse, but long-buried secrets strain their relationships as they struggle to survive."
The Greatest of All Time,"Gandhi is a hostage negotiator, field agent, and spy working for the Special Anti-Terrorist Squad (SATS). After years of service, he is called back for a critical mission that sets him on a dangerous collision course with his own past."
105 Minutes,"A young woman living independently experiences unsettling occurrences after shopping. As tension builds, the audience joins her thrilling journey into the unknown."
The Girl in the Pool,A well-to-do family man is forced to struggle through a surprise birthday party moments after hiding the murdered corpse of his mistress.
Prey,A young couple is compelled to leave their Christian missionary station in the Kalahari Desert after being threatened with death by an extremist militant gang. After crashing their aircraft they must battle man and beast for their lives.
The Trail,"A young woman embarks on a remote hiking trail in the Alps to cope with a trauma. In the midst of the rustic landscape, she is now not only confronted with her own fears, but also has to face an alien threat."
Justice,"A discharged police officer is given a chance to regain his former life by capturing a bank robbery crew. Teaming up with a young policewoman, the ex-cop must act swiftly before the heist draws unwanted scrutiny from the new authorities."
I Am Kathalan,A college student decides to hack into the security system of a company owned by his ex-girlfriend's father.
Daddysitter,"Mara, a student taking on an unusual ''daddysitter'' job. As she grows close to her wealthy, ill client, his estranged son's return complicates everything."
Night Shift,"A young nurse with a past of family violence starts working the night shift at a small hospital, where during the night a ghost nurse materializes."
Vanished Into the Night,"A father, immersed in a difficult divorce process, embarks on a dangerous mission when his children disappear from their isolated country house."
Mittran Da Challeya Truck Ni,"Satta, a truck driver, wants a practical wife to organize his life. Jindi, an independent woman, desires wealth and luxury. Their clashing paths lead to an unconventional relationship defying traditional romance norms."
Play Along,"A relentless captor preys on young women, forcing them into a deadly game of psychological warfare using costumes. When 17-year-old Skylar becomes the first to outsmart him, a battle of wits ensues in a fight for their very survival."
Luottomies-elokuva: All In,Tommi and Juhis come across the harsh realities of the crypto world.
Love Me,A post-apocalyptic romance in which a buoy and a satellite meet online and fall in love after the end of human civilization.
Sheepdog,"A decorated combat veteran is court-ordered into treatment when an ex-convict shows up on his doorstep, forcing him to confront his past and begin an unexpected journey toward post-traumatic growth."
Please Don't Feed the Children,"A gang of orphans travels to the south in quest of a new life after a viral outbreak decimates the adult population of the nation, only to find themselves at the mercy of a psychotic woman who is hiding a perilous secret."
I Love You Forever,A subversive romantic comedy gone wrong that follows a young woman into and out of an emotionally abusive relationship.
Unpredictable,"A modern thriller filled with intense sexual tension. Betrayal, jealousy, revenge and lies. A plot full of tension and twists of events."
Donselya,"An 18-year-old virgin, Iris, enters a marriage of convenience with wealthy widower Joaquin for financial gain. However, the discovery of her deceit regarding her purity leads to a disastrous honeymoon."
Bang Bang,"Follows 'Bang Bang' Rozyski, an eccentric retired pugilist obsessed with rectifying the sins of his past."
Held Hostage in My House,A single mother becomes trapped inside her own vacation rental and must piece together clues from the various guests who have stayed there in order to figure out who assaulted her and hopefully survive.
Kill Em All 2,"Retired spy Phillip and his long-lost daughter, Vanessa, are living peacefully off the grid in Italy, when their whereabouts are discovered by Vlad, the vengeful brother of their previous target."
Bhoothaddam Bhaskar Narayana,"In a small town in southern India, a rash of unsolved murders over the past 18 years has left the region shrouded in mystery. Despite repeated efforts, local police have failed to find any explanation or suspect."
Half Baked: Totally High,Three potheads sell a strain of magical weed to raise funds for their friend's funeral.
I Don't Understand You,"Stranded in rural Italy without transportation or language skills, an American couple on the verge of adopting tries to reconnect during a disastrous vacation, as their fears and relationship problems threaten to boil over."
Piece by Piece,"A vibrant journey through the life of Pharrell Williams, told through the lens of Lego animation."
Loverboy: Emoties Uit,An unprecedentedly raw and intense crime narrative that takes the viewer into the dark world of human trafficking in the Netherlands.
Striking Rescue,A veteran Muay Thai expert goes on a take-no-prisoners mission of revenge after his wife and daughter are brutally murdered by mysterious forces.
First Taste,"Yuna, a woman engaged with her long time boyfriend, Nicco, starts to have second thoughts when she meets again her first love, Becca. Now she is torn between the man she loves and the woman she first loved."
Bharathanatyam,The struggle of a young man to maintain a family secret amidst some testing situations and poky neighbourhood that leads to funny situations and later to family bonding.
The Apocalypse of St. John,"Watch 'The Apocalypse of Saint John, ' a visually stunning film that explores prophecy and the power of faith."
Dayo,A club dancer leaves everything and starts a new life in a place where nobody knows her. But it seems that desire and temptation follow her wherever she goes.
Alpha.,"Rein, snowboard teacher, works in the Alps. Receives a visit from his father Gijs from the Netherlands. The two venture into the snow-capped mountains where they clash both with each other and with the merciless nature that surrounds them."
Kali,"Lisa, aka Kali, who has nothing left to lose when she finds out her husband has been executed in Rio to cover up a corruption scandal. A former Special Forces recruit, she heads to Brazil with fists, blood and explosives, to Know the truth"
Hijack '93,"In an effort to dismantle their military-backed government, four men hijack an airplane, leveraging passengers on board in the name of social change."
Razakar: The Silent Genocide of Hyderabad,Revolves around the Hyderabad Liberation Movement of 1948. Capture the struggles of Telangana and its people in the early days of Independence to reclaim their religion and identity in the face of military and political oppression.
Filmmaker,"Three years after graduating, George, a broke young filmmaker, struggles to fund his first feature film: an ambitious survival story set during the Vietnam War, to be shot in the jungle. Juggling odd jobs and the pressure from those around him, he's determined to complete it before turning twenty-six, following in the footsteps of his favorite filmmaker. With everything on the line, George is ready to do whatever it takes to make his dream a reality."
Runt,"Follows ten-year-old Annie and Runt, her stray dog, as they attempt to win the Agility Course Championship at the Krumpets Dog Show in London in order to save their family's farm from drought and misery."
Forbidden Desire,"Agatha and Ubel's turbulent romance leads to a devastating breakup. Though she finds a new partner, Agatha can't get enough of Ubel. They continue their illicit affair until she finds out that Ubel has a secret that can ruin her life."
Swimming Home,"An adaptation of cult author Deborah Levy's unique and provocative novel about love, loss and longing. A woman invites a naked stranger found floating in the pool of her family holiday villa to help her set those she loves free."
A Desert,"A photographer's road trip takes a dark turn when he befriends a reckless couple, plunging him into a nightmarish neo-noir spiral of unpredictable horror."
Woody Woodpecker Goes to Camp,"Woody Woodpecker must find a new home after being kicked out of the forest. At Camp Woo Hoo, he thinks he's found a forever home, but there's an inspector on the loose who wants to shut down the camp."
Madgaon Express,The journey of three childhood friends who embark on a trip to Goa that goes completely off-track.
10 Lives,"A pampered cat takes for granted the lucky hand he has been dealt after he is rescued and loved by Rose, a kind-hearted and passionate student. When he loses his ninth life, fate steps in to set him on a transformative journey."
The Knife,"After the mysterious appearance of a stranger in their home, a young Black family must deal with the fallout of their choices, big and small, as a steadfast detective tries to crack the case over the course of one fateful night."
Sookshma Darshini,"Manuel returns with his mother to their former home in a middle-class neighbourhood. Suspicious of his intentions, Priyadarshini and her friends begin gathering clues, convinced he may be hiding something sinister."
Depravity,"A group of tenants, suspecting that their neighbor could be is a serial killer, stumble upon an art heist worth millions."
Taboo: Family Secrets,"The infidelities by patriarch Lukas divide the family. His Son Tyler visit sparks a taboo relationship with his stepmother Amanda, forever altering the dynamics and loyalties after certain revelations."
Lights Out,"A drifting ex-soldier turns underground fighter with the help of a just released ex-con, pitting them both against a crime boss, corrupt cops and hired killers."
The Mouse Trap,"It's Alex's 21st Birthday, but she's stuck at the amusement arcade on a late shift so her friends decide to surprise her, but a masked killer dressed as Mickey Mouse decides to play a game of his own with them which she must survive."
Butas,Witness how lives of four young people who have various sexual quirks and inhibitions intertwine as they live together in a snug boarding house.
The Curse of the Necklace,Family navigates turbulent 1960s dynamics. Mom separates from alcoholic husband. Daughters grapple with changes. Dad's antique gift hides dark force that imperils all.
Der Vierer,Married couple Paul and Sophie want to pep up their sex life with a foursome and invite Mia and Andy. What Sophie doesn't know: Paul has exchanged Andy for his best buddy Lukas. What Paul doesn't know: Sophie and Lukas have had an affair.
This Is Me... Now,This narrative-driven odyssey that coincides with the release of her same-named album tells the story of Jennifer Lopez's journey to love through her own eyes.
Wanted: Girlfriend,Sheina Yu and Reina Castillo date a man who likes to have sex anytime and anywhere. See who can keep up with his strong sexual appetite and be his girlfriend.
Things Will Be Different,"In order to escape police after a robbery, two estranged siblings lie low in a farmhouse that hides them away in a different time. There they reckon with a mysterious force that pushes their familial bonds to unnatural breaking points."
Maa Nanna Superhero,"Johnny embarks on a mission to help his adoptive father, inadvertently reuniting with his biological father Prakash, who was forced to abandon him years ago but now seeks reconciliation."
Hitpig,A bounty hunter pig finds himself trekking the globe with a free-spirited elephant he intended to capture.
"Palipat-lipat, papalit-palit",A guest turns into nightmare. Story revolves around protagonist and his wife. An Unwanted guest and her desire ruins their personal life. See who wins between lust and love.
Hide N Seek,"Vaishnavi, a determined investigator, discovers a disturbing link between multiple murders, taking her on a dangerous quest to unveil a dark conspiracy in this gripping Indian crime drama."
The Containment,A dark and sinister being enters the body of an innocent child.
Mom,"Struggling with postnatal depression and feeling misunderstood by her husband, Meredith begins to experience terrifying visions foreshadowing an ultimate tragedy."
Passport to Love,"A successful international travel writer, Nicole, has scored a dream seaside rental to research her newest vacation article only to discover it has accidentally been booked also by Kade, a marketing rep for a competing travel magazine."
Elyas,A former Special Forces soldier who has become solitary and paranoid since serving Afghanistan and recruited to provide the security for Amina and her daughter Nour.
The Wailing,A group of young people inadvertently resurrect a seemingly invisible evil.
The Uninvited,"A stranger crashes a party, sparking a comedy of errors, and a reordering of life."
Love Across Time,A real estate inspector working in England at an old Georgian manor accidentally opens a portal to its 18th-century past and its dashing then-owner.
On Falling,"The story focuses on Aurora, a Portuguese worker in a Scottish warehouse, navigating loneliness and alienation in an algorithm-driven gig economy as she seeks meaning and connection amidst solitude and workplace confines."
The Intruder,"A young, paranoid man begins to believe someone is breaking into his house every night."
Diamonds,A director calls all his favorite actresses to film a movie set in Rome in the 70s that tells the vicissitudes revolving around a prestigious tailoring.
The Grinch That Stole Bitches,"The Grinch has to settle the score with Santa, so he decides to take a different approach."
Boy Kaldag,"A man famous for being well-endowed, drives women wild and sparks envy among other men. As his legend grows, Boy Kaldag plunges into a world of lust and chaos that comes with his special characteristic."
A Million Minutes,"Vera and Wolf Küper, parents to Nina and Simon, navigate work and family stress. Their world gets shaken with Nina's motor disorder diagnosis, reminding Wolf of her wish for a million minutes, just for the really nice things."
The Lost Children,"Four Indigenous children are stranded in the Colombian Amazon after their plane crashes. Guided by ancestral knowledge, they're able to survive while awaiting rescue amid the jungle's challenges."
The Train of Death,"Bloody terror wiped out the Sangkara Train carriages one by one, putting passengers at risk of life and death."
Blame the Game,"A young man meets his new girlfriend's friends for the first time at their regular game night, putting him under pressure to make a good impression. But then suddenly, her ex shows up as well."
The Clean Up Crew,"When a crime scene cleanup crew discovers a briefcase full of money, they are unwittingly sent into a battle with a ruthless and corrupt crime boss, mobsters, hitmen, and corrupt government agents who are hell-bent on getting it back."
Scurry,"Two strangers who find themselves trapped underground when the city is attacked by a monstrous threat. Badly injured with limited resources they must navigate a treacherous, narrowing tunnel in hopes of finding an exit."
The Bloody Hundredth,It honors the heroes of the 100th Bomb Group.
I Want to Be Neenja! The Movie,"One of the greatest songs ever is now a movie. Buckle up for a laughter-filled ride. Jennifer Murphy ""GoGirl"" is a superhero on a mission to spread smiles, but she is being sabotaged by Chow, the billionaire ninja villain. Who will win?!."
Naomi: Reversed,"A teacher named Naomi takes in Yuzuru, a younger man she found alone. While caring for him like a stray cat, she falls for him despite his wild nature. She questions her choice but has no one to confide in."
Garudan,"Sokkan, the trusted confidant of childhood friends Aadhi and Karuna.But when his loyalty and self respect is put into test, which would he choose?"
Una storia nera,"Carla, a mother of three, endured twenty years of abuse from her husband, is arrested for premeditated murder, though she claims selfdefense."
Late Bloomer,"When Therese learns that her days are numbered, she seeks the help of her friend Maddie to find guys to have sex with, but she soon discovers her real sexual cravings."
Way Home,"A father enters war-torn Syria seeking his son Adam, facing deadly challenges that test his limits and beliefs. A journey of parental love, sacrifice, powerlessness and forgiveness."
Dominique,"Trained assassin Dominique, escaping her troubled past, crash lands her plane in a Colombian town rife with violence. Sheltered by a family, she faces attacks from police and must choose between self-preservation or defending her hosts."
All Is Fine in '89,"With the backdrop of the Berlin Wall being torn down, the senior students - and even teachers - at Romano High are prepping for the last field party of the decade - and for some, the last party of their lives."
2B Honest,"Murder, love, insurance policies. On the run from the law, Kato Roberts stumbles into a secret community that throws him into a world of chaos."
Munjya,"A young man's visit to his native village unveils a family secret and a vengeful spirit, the Munjya, who wants to get married. Now the young man must fight to protect himself and his love from Munjya's clutches."
Special Needs Revolt!,"In a future dystopia, a man with Down syndrome joins a rebellion against America's cruel dictator who has put all people with disabilities back into institutions."
Everyone Is Going to Die,An entrepreneur is attempting to reconnect with his daughter on her Birthday. The party is interrupted and they are taken hostage by two masked female robbers who appear to have real problems with the Patriarchy.
The Getaway,Three girls are abducted and taken to a remote island. They're held captive by three brothers raised in isolation by their grandmother. The girls are forced to become the brothers' mates and desperately attempt to escape their captors.
Mama's Boy,"A controversial affair unfolds when a young man, Glen, manipulates his stepmother, Lorraine and her sister, Leilanie, to fall for him to exact revenge on his father, Mauro. But there is twist and Glen is in for life-shattering shock."
Utopia,"Soldier investigates wife's disappearance, infiltrates facility believing she's trafficked. Discovers facility is futuristic fantasy park blurring reality and illusion, complicating his search for truth about her fate."
Sofia: The Possession,"Fourteen-year-old Sofia's mother vanished from the boarding school where she worked. After a Ouija board reveals she must search there, Sofia enrolls at the school to uncover what happened to her."
Diva Futura,"In 1980s-1990s Italy, Riccardo Schicchi's agency Diva Futura turns free love into porn, making stars of Ilona Staller, Moana Pozzi and others. Their fame leads to Cicciolina's election and Pozzi's mayoral run."
Vettaiyan,Ruthless criminal activity is met with force from a maverick police officer with a disregard for the rules as he confronts an outbreak of lawlessness.
Went Up the Hill,"Jack ventures to remote New Zealand for the funeral of his estranged mother and meets her widow Jill. But his mother's spirit returns to inhabit each of their bodies, instigating a life-threatening three-way nocturnal dance."
The Merry Gentlemen,"To save her parents' small-town performing venue, a former big-city dancer decides to stage an all-male, Christmas-themed revue."
Mr. K,"After spending the night in a remote hotel, Mr. K is stuck in a claustrophobic nightmare when he discovers that he can't leave the building."
Before Dawn,The journey of fictional WA outback kid Jim Collins and his battalion on the Western Front.
Kingsmen,"Richard King raised his 4 sons to be just like him and to take over the family business, but his sudden death has left the family searching to find out who and what could be the reason their family was torn apart."
Operation Valentine,"Showcasing the indomitable spirits of the Indian Air Force heroes on the frontlines and the challenges they face during one of the biggest, fiercest aerial attacks that India has ever seen."
The Groomsmen Last Dance,"Jackson moves to Italy to be near his daughter, but a chance meeting with cafe owner Gabriella, and some meddling friends, may lead to a second chance at love."
Khadaan,"Shyam comes from the remote areas of Purulia to work as a laborer in the coal mines of the Damodar Valley. The story of Mohan and Shyam will proceed with their rise, reckoning of friendship."
Saving Bikini Bottom: The Sandy Cheeks Movie,"When Bikini Bottom is scooped from the ocean, scientific squirrel Sandy Cheeks and her pal SpongeBob SquarePants saddle up for Texas to save their town."
Die Hart 2: Die Harter,"Hart plans an innovative action film with unscripted, unexpected scenes to cement his legacy as the greatest. However, a blind spot leads him to fall victim to a vengeful plot from his past."
Pantasya Ni Tami,"A-Lister Azi Acosta approaches the sexier side of cosplaying. Tami, with the help of her fubu photographer, Ken, sells sexy photos of herself."
The Traveller,"A college student's life changes when he meets a powerful woman after his grandfather's corpse is stolen. As he uncovers a dark conspiracy, he learns he belongs to a hidden group of people with supernatural abilities."
Døde menn går på ski,"A billionaire invites a failed writer, a misogynistic psychiatrist, a cocaine-sniffing children's TV star, and a psychotic journalist to a haunted cabin for Easter. A thrilling detective game turns deadly when one is found beheaded. Trapped by a snowstorm, they are forced expose the murderer among them, before it is too late. Based on Knut Nærums bestseller."
Ashes,"A wealthy, married woman falling in love with a mysterious carpenter, which will lead to many conflicts."
City Hunter,"An exceptional marksman and hopeless playboy, private eye Ryo Saeba reluctantly forms an alliance with his late partner's sister to investigate his death."
Climax,"A blockbuster Filipino film sets screens ablaze in 2024, featuring beloved couples and fresh faces. Rob Gint and Apple Day guide viewers through steamy moments that promise to raise temperatures and captivate audiences nationwide."
The Last Kumite,"One last kumite, one final battle - for the life of his daughter."
Vicky Vidya Ka Woh Wala Video,"A newly married couple's relationship and reputation are put at risk when their private video CD is stolen. The story follows their roller coaster journey to recover the CD, navigating a series of unexpected difficulties along the way."
Thiru.Manickam,"A man who is getting chased by everyone for doing good, yet he overcomes opposition. Among everyone who is trying to survive, this man wants to live. Shows how Manikkam becomes Thiru Manikkam"
Ayalaan,"A lost alien seeks help to go back to his home, but everything gets harder after the alien returns to its home."
Strange Frequencies: Taiwan Killer Hospital,"Reality TV stars face mounting supernatural horrors while filming at haunted Xinglin Hospital in Taiwan. As paranormal activity intensifies, group dynamics crumble and a dark force manipulates their survival choices."
Uhaw,A wife learns that her husband who's in coma had an affair. She confronts the other woman but instead finds solace in her. She then realizes she's falling for her husband's mistress.
We Are Wolves,"When Fenix, a lost soul craving something more, tries to re-join her chosen family, to prove her worth, she must play some very dangerous games."
Another End,"Two people who have loved each other, and continue to love each other, even after one of them dies."
Aayushmati Geeta Matric Pass,"Follows real-life scams involving corrupt educational boards, showcasing their impact on students' lives through a gripping narrative based on true events."
Operation: Raqqa,"In 2014, on the streets of Raqa, an international spy Haibala (aka El Saharawi) tries to hunt down El Jordano, one of the most wanted ISIS leaders."
Thaanara,"Anjali, the daughter of a former home minister, is unhappily married to Adarsh, an opposition MLA. Distrustful of her husband, she secretly monitors his activities with the help of a police officer named James."
The Tiger's Apprentice,"Tom Lee, a Chinese-American boy, after the death of his grandmother, has to be apprenticed to the talking tiger Mr. Hu and learn ancient magic to become the new guardian of an ancient phoenix."
Kulong,"Three celibate friends seclude themselves at a resort to pen a steamy script for a competition, but struggle to write convincingly about intimacy they haven't experienced."
Mutants of Nature Cove,"Party girls take shy Beth to nude beach with secluded Mutants causing hallucinations. Mysterious woman chants spells, Mutants attack. Beth plans to send soul-stealing Mutants back to hell permanently."
Air Force One Down,A rookie agent aboard the hijacked Air Force One battle terrorists threatening the energy deal and the president.
Bureau 749,A traumatized young man with physical abnormalities is forced to join a mysterious bureau to confront a disaster spreading across the earth caused by an unknown creature. He embarks on an adventure uncovering mysteries about his life.
Jamais sans mon psy,Follow this man with severe anxiety and a behavior his therapist cannot stand deciding to kick him out of his practice and challenge him to find the woman of his dreams.
Bogota: City of the Lost,"Young man moving to Colombia with his family for a better life, but he ends up living from hand to mouth. He later goes against all odds to dominate Bogota's black market."
The Other Side,"A forty-year-old poet wakes up handcuffed to a hospital bed. Accused of his mother's murder, he claims it was an act of love: a plan to aid his mother's death and end his own life at the same time."
Bau: Artist at War,"The inspiring love story of Joseph Bau, artist, forger, holocaust survivor. Using his artistic skills, humor and hope in the camps, Joseph stays alive and helps hundreds to escape. Miraculously, he finds love in the midst of despair."
Black Creek,"A sheriff's sister seeks revenge against the terrifying leader of a group of outlaws after discovering he brutally murdered her brother, his wife, and other family members in a gritty southwestern town."
Salitan,A wife suspects her husband of infidelity during a trip to Bali. She meets an attractive stranger who stirs unfaithful feelings within her. She contemplates encouraging her husband's unfaithfulness to reduce her guilt.
Stag,"Gold reappears after vanishing for months. His car breaks down in a remote area. He meets peculiar people in a house. Waking up in his car, he questions if it was a dream or reality."
Wanted Man,"Follows a police officer who must retrieve an eyewitness and escort her after a cartel shooting leaves several DEA agents dead, but then he must decide who to trust when they discover that the attack was executed by American forces."
The Stickman's Hollow,A series of mysterious and savage murders plague an area of remote wilderness known for its insidious past.
Butchers Book Two: Raghorn,A car accident leaves the victims in the hands of brutal cannibals who plan to hack them up for meat.
Hidden Blessings,"Hidden Blessings is an award-winning feature-length inspirational drama, shot in the innovative and pioneering style of a lighthearted documentary. The story of famed artist Gregory Davidson, played by acclaimed Voice-Actor, James Arnold Taylor (Star Wars: The Clone Wars), is told through the eyes of a skeptic film student, Lydia Drake, as she embarks on an incredible journey of discovering faith, family, and art. Join Lydia and Gregory from the vantage point of a documentarian as they wrestle with life's deepest questions and explore the world of art while experiencing the spectrum of emotions, from joyous laughter to tears of sorrow. Hidden Blessings will captivate audiences of all ages as it brings the parable of the Prodigal Son to life before your very eyes."
Detained,"A woman wakes up in a police interrogation room with no memory of the night prior. However, something does not seem quite right in this police station."
Mother Mara,"Mara's life is disrupted by the sudden death of her only son. Through a relationship with a younger man, she tries to face the loss and find a way to move on."
Mafia Wars,An ex-con gets released early from prison only to be forced into an undercover unit of six men and on his first day the other five are all killed. Now he must face the men who he was tasked to spy on.
Antropophagus Legacy,"Everything in Hanna's life suddenly seems to fall apart. Accused of the brutal murder, she will ask for help from her cousin Hugo, who will drag her into a spiral of violence involving a dark past and a bloodline to be dealt with."
Here After,"Claire is overjoyed when her daughter Robin is miraculously revived after a fatal accident. But her relief turns to dread as Claire notices changes in her daughter, suspecting something dark has followed her back from the brink of death."
The Price of Nonna's Inheritance,"When a grandmother falls for a cheeky suitor with dubious intentions, her family devises a secret plan to protect her life and their inheritance."
Yolo,"After an argument with her younger sister, Le Ying moves out on her own. She meets a boxing trainer and starts boxing."
Bloodline Killer,Bloodline Killer is a terrifying horror-thriller that follows Moira Cole who endeavors to rebuild her shattered life after the murder of her family at the hands of her deranged and obsessed cousin.
Murder Mubarak,"During a murder investigation, a non-traditional police officer turns a spotlight on an array of suspects. He steps into their world as an outsider, only to find there is so much more than what meets the eye."
You Will Die in 6 Hours,"Jun Woo alerts Jeong Yun about her upcoming murder. Skeptical, she investigates, uncovering Jun Woo's link to serial killings. She races to learn if he's protecting or deceiving her before her prophesized death."
Simp,A model gets kidnapped at a fake photo shoot. Based on true events.
Continental Split,"When a fault threatens to split the U.S., a desperate team of seismologists and government agents race to prevent disaster as the clock ticks down."
Panopticon,"An introverted teen whose father joins a monastery befriends a right-wing activist, navigating sexuality and friendship amid post-Soviet Georgia's clash between religious values and progress."
God's Not Dead: In God We Trust,"Amid political and spiritual turmoil, Reverend David Hill steps up to run for Congress. Opponent Peter Kane, aims to erase religion from policy, and the fight becomes a beacon of hope for people seeking moral leadership in a divided world."
A House on Fire,"Montse, divorced and with two children who have long since ignored her, has been preparing for a family reunion at her home on the Costa Brava. Nothing, absolutely nothing, will prevent her from enjoying one last weekend with her family."
Waves,A compromising record can change history.
Committee Kurrollu,"In a peaceful West Godavari village, the harmony of a close-knit friend group is disrupted when a disagreement leads to an unexpected fallout, impacting their lives and the tranquility of their community."
Doraemon the Movie: Nobita's Earth Symphony,"Doraemon and friends go on an adventure to meet new buddies, connect to people with music, and save the world from a crisis."
Behind the Lines,Follows a passionate historian who travels the world to find and preserve letters written during times of war.
Dukaan,"A girl who becomes a surrogate mother, becoming the relief for couples with issues."
Butchers Book Three: Bonesaw,"Three women find themselves being hunted by a vicious killer who slaughters people and hacks them up in his van, while a clever sheriff pieces together the clues he's leaving behind."
Kryptic,"A woman searches for a missing monster hunter, realizing she has an inextricable bond with the creature being pursued."
11 Rebels,"Amidst the Boshin War's brutal conflicts, a motley squad of criminals and samurai undertakes a desperate defense of a fortress, their stand triggered by clashing interests of the Shibata clan, the shogunate, and the new government."
Feminist Fathima,"A housewife in coastal Kerala sparks quiet rebellion after trying to replace a mattress, challenging patriarchy through small acts of resistance in her journey toward self-liberation."
Hazard,A young man faces hard life choices and tragedies as he attempts to break the cycle of addiction tearing his family apart.
